Response via Email?,Notes,Parish Name,Address,City,State,Zip,Secretary/receptionist email,Bulletin publishing email,Phone #,Youth Minister Name,Youth Minister E-mail,Contacted (Y/N) contacted by (initials),Have they responded back? (Y/N),Are they putting it in their bulletin,Posting it on their website?,Does the youth minister know about Connect?,Other Notes
FALSE,,St. Peter the Apostle Parish,2049 Taft Avenue,Groves,TX,77619,beckyh-stpetersNOPE@sbcglobal.net,,409-962-8365,,,,,,,,
FALSE,,St. Charles Borromeo Parish,130 Hardy Avenue,Nederland ,TX,77627,mzahradnikNOPE@stcharlesnederland.org,,409-722-3413,Tammy Mansveld,tmansveldNOPE@stcharlesnederland.org,,,,,,
FALSE,,Queen of Vietnam Parish,801 9th Avenue,Port Arthur,TX,77642,queenofvnchurchNOPE@hotmail.com,,409-983-7676,,,,,,,,
FALSE,,Sacred Heart - St. Mary Parish,920 Booker T Washington Ave,Port Arthur,TX,77640,sacredheartNOPE@gt.rr.com,,409-985-5104,,,,,,,,
FALSE,,St. John the Evangelist,P.O. Box 123 ,Port Arthur,TX,77641,officestjohn620NOPE@gmail.com,,409-985-8010,,,,,,,,
FALSE,,St. Joseph Parish,4600 Procter Street,Port Arthur,TX,77642,stjochurchNOPE@att.net,,409-982-6409,,,,,,,,
FALSE,,St. Therese the Little Flower of Jesus Parish,6412 Garnet Avenue,Port Arthur,TX,77640,officelittleflowerNOPE@gtbizclass.com ,,409-736-1536,,,,,,,,
FALSE,,St. Elizabeth Parish,2006 Nall Street,Port Neches,TX,77651,donnaNOPE@stepncatholic.org,,409-727-8874,Claire Culver,claireNOPE@stepncatholic.org,,,,,,
FALSE,,St. Henry Parish,475 Round Bunch Rd P.O. Box 427,Bridge City,TX,77611,officeNOPE@sthenrybctx.org,,409-735-2422,,,,,,,,
FALSE,,St. Maurice Parish,P.O. Box 940 ,Mauriceville,TX,77626,stmaurice2NOPE@aol.com,,409-745-4060,,,,,,,,
FALSE,,St. Francis of Assisi Parish,4300 Meeks Drive,Orange,TX,77632,churchsecNOPE@gt.twcbc.com,,409-883-9153,Angie Lathrop,alathropNOPE@gt.twcbc.com,,,,,,
FALSE,,St. Mary Parish,912 W Cherry Avenue,Orange,TX,77630,debraNOPE@stmaryorange.org,,409-883-2883,Patricia Daleo ,,,,,,,
FALSE,,St. Therese Parish,1409 6th Street ,Orange,TX,77630,sttherese1350NOPE@yahoo.com,,409-883-3783,Felicia Richard,,,,,,,
FALSE,,St. Helen Parish,8105 FM 1442 ,Orange,TX,77630,StHelenOrangeNOPE@gmail.com,,409-735-2200,,,,,,,,
FALSE,,Our Mother of Mercy Parish,101 Donatto Dr.,Liberty,TX,77575,ourmotherofmercyamesNOPE@yahoo.com,,936.334.8328,,,,,,,,
FALSE,,Our Lady of Light Parish,2207 S. Main,Anahuac,TX,77514,iamenchacacmstNOPE@yahoo.com,,409-267-3158,,,,,,,,
FALSE,,Our Lady of Sorrows Parish,245 US 90 ,China,TX,77613,olos1NOPE@sbcglobal.net,,409-752-3571,,,,,,,,
FALSE,,St. Mary Parish,702 E Houston St.,Cleveland,TX,77327,stmarycleveland01NOPE@att.net,,281-592-2985,,,,,,,,
FALSE,,St. Joseph the Worker Parish,804 S. Cleveland St. ,Dayton,TX,77535,officestjosephNOPE@comcast.net,,936-258-5735,,,,,,,,
FALSE,,Immaculate Conception Parish,411 Milam St,Liberty,TX,77575,icclibertyNOPE@comcast.net,,936-336-7267,,,,,,,,
FALSE,,Holy Trinity Parish,3515 Trinity Dr. ,Mont Belvieu,TX,77580,OfficeNOPE@htcc-mb.org,,281-576-4990,Brad and Ginger Downs,thebradzoneNOPE@live.com,,,,,,
FALSE,,Sacred Heart Parish,3730 FM 160 N,Raywood,TX,77582,sacredheartchurchraywoodNOPE@yahoo.com,,936-587-4631,,,,,,,,
FALSE,,Our Lady of Victory,210 W Barklay St,Sour Lake,TX,77659,rwaggonerNOPE@dobcentral.org,,409-287-3287,Dcn. Clay Kuykendall,olov1NOPE@att.net,,,,,,
FALSE,,St. Louis Parish,315 Buccaneer Dr,Winnie,TX,77665,slccsecNOPE@gmail.com,,409-296-4200,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
